Folder,FileName,Manufacturer,DocType,Model / Coverage,SourceURL,Legal Status
Trane,PKGP-PRC013AA-EN_Packaged-Rooftop-Product-Catalog.pdf,Trane,Product Catalog,"Packaged rooftop line (WSC, DHC, WHC)",https://elibrary.tranetechnologies.com/public/commercial-hvac/Literature/Product%20Catalog/PKGP-PRC013AA-EN_12202022.pdf,Freely published OEM (public eLibrary)
Trane,RT-SVX23R-EN_Precedent-Rooftop-IOM.pdf,Trane,IOM + diagnostics,"Precedent rooftop heat/cool (WSC, DHC, WHC)",https://elibrary.tranetechnologies.com/public/commercial-hvac/Literature/Installation%20Operation%20and%20Maintenance/RT-SVX23R-EN_09222022.pdf,Freely published OEM (public eLibrary)
Trane,RT-SVX21AD-EN_Rooftop-IOM.pdf,Trane,IOM + diagnostics,"Packaged rooftop (YHC, YSC)",https://elibrary.tranetechnologies.com/public/commercial-hvac/Literature/Installation%20Operation%20and%20Maintenance/RT-SVX21AD-EN_06172022.pdf,Freely published OEM (public eLibrary)
Trane,RT-SVX34W-EN_Rooftop-IOM.pdf,Trane,IOM + diagnostics,Packaged rooftop,https://elibrary.tranetechnologies.com/public/commercial-hvac/Literature/Installation%20Operation%20and%20Maintenance/RT-SVX34W-EN_03112023.pdf,Freely published OEM (public eLibrary)
Trane,RT-SVX46G-EN_Precedent-eFlex-Rooftop-IOM.pdf,Trane,IOM + diagnostics,Precedent with eFlex (YZC),https://elibrary.tranetechnologies.com/public/commercial-hvac/Literature/Installation%20Operation%20and%20Maintenance/RT-SVX46G-EN_01162021.pdf,Freely published OEM (public eLibrary)
Trane,RT-SVX072E-EN_IntelliPak1-Symbio800-IOM.pdf,Trane,IOM + diagnostics,IntelliPak 1 w/ Symbio 800 controls,https://elibrary.tranetechnologies.com/public/commercial-hvac/Literature/Installation%20Operation%20and%20Maintenance/RT-SVX072E-EN_10122024.pdf,Freely published OEM (public eLibrary)
Trane,TEMP-SVX001A-EN_AirCooled-Chiller-25-120ton-IOM.pdf,Trane,IOM,Air-cooled chiller 25-120 tons,https://elibrary.tranetechnologies.com/public/commercial-hvac/Literature/Installation%20Operation%20and%20Maintenance/TEMP-SVX001A-EN_02142023.pdf,Freely published OEM (public eLibrary)
Trane,PKGP-SVX010A-EN_Precedent-HeatPump-IOM.pdf,Trane,IOM + diagnostics,Precedent heat pump 12.5-25 tons (WSJ),https://www.trane.com/content/dam/Trane/Commercial/global/products-systems/equipment/unitary/rooftop-systems/precedent-12-5-to-25-tons/PKGP-SVX010A-EN_12152022.pdf,Freely published OEM (trane.com)
Trane,RT-SVX056D-GB_Airfinity-Rooftop-IOM.pdf,Trane,IOM,Airfinity rooftop,https://www.trane.com/Resources/Partners/44c2a527-2941-4053-8392-78812d8703e9/documents/RT-SVX056D-GB_1120.pdf,Freely published OEM (trane.com)
Carrier,48-50LC-04-06_Single-Package-Rooftop-Service.pdf,Carrier,Install/Service,48/50LC single package rooftop 4-6 ton,https://www.shareddocs.com/hvac/docs/1009/Public/0A/48-50LC-4-6-C01T.pdf,Freely published OEM (ShareDocs Public)
